date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
4/7/11,766.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/8/11,774,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/11/11,781.25,410.4461145,408.9026898,406.7067394,6.139057064,6.134049939,6.127588118
4/12/11,757.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/13/11,761,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/14/11,761,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
4/15/11,749.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/18/11,759.5,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
4/19/11,757,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
4/20/11,740.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/21/11,744.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/25/11,768.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/26/11,772.75,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
4/27/11,759.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
4/28/11,729.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
4/29/11,756.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/2/11,734.5,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
5/3/11,723.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/4/11,729.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/5/11,708.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/6/11,686.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/9/11,707.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/10/11,707.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/11/11,677.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/12/11,680.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
5/13/11,682,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/16/11,697.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/17/11,720.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/18/11,749.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/19/11,748.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/20/11,759.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/23/11,754,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/24/11,733.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/25/11,742.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/26/11,745.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
5/27/11,758.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
5/31/11,747.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/1/11,758.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/2/11,741.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/3/11,731,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/6/11,711.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
6/7/11,717,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
6/8/11,736,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
6/9/11,754,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/10/11,756,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/13/11,751.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
6/14/11,729,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/15/11,704.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/16/11,684.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
6/17/11,687,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/20/11,687.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/21/11,702.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/22/11,672.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
6/23/11,668,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/24/11,657,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
