"","date","retweet","favorite","score","type","settle"
"181","07/21/11",0,0,2,"Positive",679.25
"182","07/22/11",0,0,2,"Neutral",690
"183","07/25/11",0,0,2,"Positive",678.75
"184","07/26/11",0,0,2,"Neutral",689.75
"185","07/27/11",0,0,3,"Positive",691.5
"186","07/28/11",0,0,2,"Neutral",682.25
"187","07/29/11",1,0,2,"Neutral",665.5
"188","08/01/11",1,0,2,"Neutral",681.25
"189","08/02/11",1,0,2,"Neutral",715.75
"190","08/03/11",0,0,2,"Neutral",713
"191","08/04/11",0,0,2,"Neutral",701.5
"192","08/05/11",0,0,2,"Neutral",703
"193","08/08/11",0,0,2,"Neutral",686
"194","08/09/11",0,0,2,"Neutral",688.5
"195","08/10/11",0,0,2,"Neutral",688.5
"196","08/11/11",0,0,2,"Neutral",714
"197","08/12/11",0,0,1,"Negative",714.5
"198","08/15/11",1,0,2,"Neutral",720
"199","08/16/11",0,0,2,"Neutral",727.5
"200","08/17/11",0,0,2,"Neutral",725.5
"201","08/18/11",0,0,2,"Neutral",713
"202","08/19/11",0,0,2,"Neutral",725.25
"203","08/22/11",0,0,2,"Neutral",734.5
"204","08/23/11",0,0,2,"Neutral",743.5
"205","08/24/11",0,0,2,"Neutral",743
"206","08/25/11",0,0,2,"Neutral",743.5
"207","08/26/11",0,0,1,"Negative",767
"208","08/29/11",0,0,2,"Neutral",770
"209","08/30/11",0,0,2,"Neutral",775.25
"210","08/31/11",0,0,2,"Neutral",767.5
"211","09/01/11",0,0,1,"Negative",738.5
"212","09/02/11",1,0,2,"Neutral",760
"213","09/06/11",0,0,2,"Neutral",755.75
"214","09/07/11",1,0,1,"Negative",748
"215","09/08/11",0,0,1,"Negative",734
"216","09/09/11",0,1,2,"Neutral",736.5
"217","09/12/11",0,0,2,"Neutral",745.5
"218","09/13/11",0,0,2,"Neutral",723
"219","09/14/11",1,0,2,"Neutral",724.25
"220","09/15/11",0,0,2,"Neutral",701
"221","09/16/11",0,0,2,"Neutral",692
"222","09/19/11",0,0,2,"Neutral",692.25
"223","09/20/11",0,0,2,"Neutral",690.25
"224","09/21/11",0,0,2,"Neutral",685.75
"225","09/22/11",0,0,1,"Negative",650
"226","09/23/11",1,0,2,"Neutral",638.5
"227","09/26/11",0,0,2,"Neutral",648
"228","09/27/11",1,0,2,"Neutral",652.25
"229","09/28/11",0,0,2,"Neutral",630.75
"230","09/29/11",0,0,1,"Negative",632.5
"231","09/30/11",0,0,2,"Neutral",592.5
"232","10/03/11",0,0,2,"Positive",592.5
"233","10/04/11",0,0,2,"Neutral",587.75
"234","10/05/11",1,0,2,"Neutral",605.5
"235","10/06/11",0,0,2,"Neutral",605.5
"236","10/07/11",0,0,1,"Negative",600
"237","10/10/11",0,0,1,"Negative",605
"238","10/11/11",1,0,2,"Neutral",645
"239","10/12/11",0,0,2,"Neutral",640.75
"240","10/13/11",0,0,1,"Negative",638.25
"241","10/14/11",0,0,2,"Neutral",640
"242","10/17/11",1,0,2,"Neutral",640.5
"243","10/18/11",0,1,2,"Neutral",644
"244","10/19/11",0,0,1,"Negative",638.5
"245","10/20/11",0,0,1,"Negative",649.5
"246","10/21/11",0,0,2,"Neutral",649.25
"247","10/24/11",0,0,2,"Neutral",651
"248","10/25/11",1,0,2,"Neutral",650.75
"249","10/26/11",0,0,2,"Neutral",637.25
"250","10/27/11",1,0,2,"Neutral",651.5
"251","10/28/11",0,0,3,"Positive",655
"252","10/31/11",0,0,2,"Neutral",647
"253","11/01/11",1,0,2,"Neutral",654.25
"254","11/02/11",0,0,2,"Neutral",656
"255","11/03/11",0,0,2,"Neutral",663.75
"256","11/04/11",0,0,2,"Neutral",666.25
"257","11/07/11",1,0,2,"Neutral",665.25
"258","11/08/11",1,0,2,"Neutral",671
"259","11/09/11",0,0,3,"Positive",665
"260","11/10/11",0,0,2,"Neutral",654.75
"261","11/11/11",0,0,2,"Neutral",647.75
"262","11/14/11",0,0,2,"Neutral",643.25
"263","11/15/11",0,0,2,"Neutral",654.75
"264","11/16/11",0,0,3,"Positive",652
"265","11/17/11",0,0,3,"Positive",623.25
"266","11/18/11",1,0,2,"Neutral",618
"267","11/21/11",0,0,2,"Neutral",605
"268","11/22/11",1,0,1,"Negative",605.75
"269","11/23/11",1,0,3,"Positive",595.5
"270","11/29/11",0,0,1,"Negative",605.5
"271","11/30/11",0,0,2,"Neutral",608
"272","12/02/11",2,2,1,"Negative",595.25
"273","12/05/11",1,0,2,"Neutral",591
"274","12/06/11",0,0,2,"Neutral",596.5
"275","12/07/11",0,0,2,"Neutral",592.75
"276","12/08/11",0,0,2,"Neutral",600.25
"277","12/09/11",0,0,2,"Neutral",594.25
"278","12/12/11",1,0,2,"Neutral",594
"279","12/13/11",0,0,2,"Neutral",594.5
"280","12/14/11",0,0,2,"Neutral",580.75
"281","12/15/11",0,0,2,"Neutral",579
"282","12/16/11",0,0,3,"Positive",583
"283","12/19/11",0,0,2,"Neutral",601
"284","12/20/11",1,1,2,"Neutral",607
"285","12/21/11",0,0,2,"Neutral",616.5
"286","12/22/11",1,1,2,"Neutral",617.5
"287","12/27/11",0,0,2,"Neutral",633.25
"288","12/28/11",0,0,1,"Negative",642.5
"289","12/29/11",0,0,1,"Negative",638
"290","12/30/11",1,0,2,"Neutral",646.5
"291","01/03/12",1,0,1,"Negative",658.5
"292","01/04/12",1,0,2,"Neutral",658.5
"293","01/05/12",0,0,2,"Neutral",643.5
"294","01/06/12",0,0,1,"Negative",643.5
"295","01/09/12",0,0,2,"Neutral",652
"296","01/10/12",1,0,2,"Neutral",652
"297","01/12/12",0,0,2,"Neutral",611.5
"298","01/13/12",1,0,1,"Negative",599.5
"299","01/17/12",0,0,2,"Neutral",604
"300","01/18/12",1,0,1,"Negative",593.5
"301","01/19/12",0,0,1,"Negative",606
"302","01/20/12",0,0,1,"Negative",611.5
"303","01/23/12",0,0,3,"Positive",620
"304","01/24/12",2,0,2,"Neutral",630.25
"305","01/25/12",0,0,2,"Neutral",634.5
"306","01/26/12",0,0,1,"Negative",634.5
"307","01/27/12",0,0,2,"Neutral",641.75
"308","01/30/12",0,0,1,"Negative",631.75
"309","01/31/12",1,0,2,"Neutral",639
